region,country,refinery,capacity,unit,status
Africa,Algeria,Skikda Refinery ,350.0,kbd,active
Africa,Algeria,Skikda condensate Refinery ,100.0,kbd,active
Africa,Algeria,Adrar Refinery ,12.5,kbd,active
Africa,Algeria,Algiers Refinery ,73.5,kbd,active
Africa,Algeria,Arzew Refinery ,75.6,kbd,active
Africa,Algeria,Hassi Messaoud Refinery ,0.0,kbd,active
Africa,Angola,Luanda Refinery ,56.0,kbd,active
Africa,Cameroon,Limb  Refinery ,42.6,kbd,active
Africa,Chad,Djarmaya Refinery ,20.0,kbd,active
Africa,Congo,Pointe Noire Refinery ,21.0,kbd,active
Africa,"Congo, Democratic Republic",Muanda Refinery ,15.0,kbd,active
Africa,Egypt,Alexandria Ameriya Refinery ,81.0,kbd,active
Africa,Egypt,Alexandria El Mex Refinery ,117.0,kbd,active
Africa,Egypt,Alexandria MIDOR Refinery ,100.0,kbd,active
Africa,Egypt,Asyut Refinery ,47.0,kbd,active
Africa,Egypt,Cairo Mostorod Refinery ,142.0,kbd,active
Africa,Egypt,El Nasr Refinery ,132.0,kbd,active
Africa,Egypt,El Suez Refinery ,70.0,kbd,active
Africa,Egypt,Tanta Refinery ,35.0,kbd,active
Africa,Egypt,Wadi Feran Refinery ,8.55,kbd,active
Africa,Egypt,BASHANDYOIL fossil crude oil refinery,300.0,kbd,active
Africa,Egypt,Egyptian Refining Company ,0.0,kbd,active
Africa,Eritrea,Assab Refinery ,17.5,kbd,active
Africa,Gabon,Port Gentil Refinery ,25.0,kbd,active
Africa,Ghana,Tema Oil Refinery ,45.0,kbd,active
Africa,Ivory Coast,Abidjan Refinery ,68.0,kbd,active
Africa,Ivory Coast,Abidjan Bitumen Refinery ,10.0,kbd,active
Africa,Kenya,Mombasa Refinery ,70.0,kbd,active
Africa,Kenya,Lamu Refinery Lamu Port and Lamu-Southern Sudan-Ethiopia Transport Corridor 120,120.0,kbd,active
Africa,Libya,Zawiya Refinery ,120.0,kbd,active
Africa,Libya,Ra's Lanuf Refinery ,220.0,kbd,active
Africa,Libya,El-Brega Refinery ,10.0,kbd,active
Africa,Libya,Sarir Refinery ,10.0,kbd,active
Africa,Libya,Tobruk Refinery ,20.0,kbd,active
Africa,Madagascar,Tomasina Refinery ,12.0,kbd,active
Africa,Mauritania,Nouadhibou Refinery ,10.0,kbd,active
Africa,Morocco,Mohammedia Refinery ,127.0,kbd,closed
Africa,Morocco,Sidi Kacem ,50.0,kbd,closed
Africa,Niger,Zinder Refinery ,20.0,kbd,active
Africa,Nigeria,Kaduna Refinery ,110.0,kbd,active
Africa,Nigeria,Port Harcourt Refinery ,210.0,kbd,active
Africa,Nigeria,Warri Refinery ,125.0,kbd,active
Africa,Nigeria,Waltersmith Refinery ,5.0,kbd,active
Africa,Nigeria,Dangote Refinery ,650.0,kbd,active
Africa,Nigeria,Azikel Refinery ,12.0,kbd,active
Africa,Nigeria,Ogbele Refinery ,11.0,kbd,active
Africa,South Africa,Cape Town Refinery ,100.0,kbd,active
Africa,South Africa,Engen Refinery ,135.0,kbd,active
Africa,South Africa,Sapref Refinery ,180.0,kbd,active
Africa,South Africa,Sasol Refinery ,300.0,kbd,active
Africa,South Africa,Natref Refinery ,108.0,kbd,active
Africa,South Africa,Mossel Bay GTL Refinery ,45.0,kbd,active
Africa,Sudan,El-Obeid Refinery ,15.0,kbd,active
Africa,Sudan,Khartoum Refinery ,100.0,kbd,active
